,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Germany,4001.0,35.0,26.0,104.0,,594.0,137.0,43.0,12.0,16.0,359.0,146.0,3.0,36.0,18.0,108.0,39.0,14.0,23.0,38.0,24.0,8.0,81.0,99.0,112.0,42.0,9.0,37.0,20.0,6.0,28.0,21.0,127.0,35.0,271.0,98.0,4.0,93.0,31.0,65.0,113.0,3.0,6.0,57.0,5.0,36.0,297.0,0.0,,30.0,11.0,169.0,179.0,15.0,40.0,7.0,57
Ghana,4211.0,10.0,,36.0,3.0,151.0,68.0,93.0,43.0,8.0,69.0,269.0,0.0,4.0,4.0,174.0,17.0,4.0,15.0,16.0,12.0,,394.0,256.0,24.0,84.0,3.0,23.0,0.0,6.0,11.0,,374.0,4.0,740.0,95.0,,238.0,40.0,7.0,135.0,0.0,19.0,26.0,0.0,31.0,251.0,0.0,0.0,10.0,,336.0,36.0,6.0,16.0,,42
Gibraltar,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Greece,800.0,,,9.0,0.0,115.0,,18.0,7.0,0.0,46.0,6.0,0.0,,0.0,58.0,7.0,0.0,,,,,21.0,80.0,15.0,,,5.0,,0.0,5.0,9.0,51.0,3.0,150.0,13.0,0.0,18.0,0.0,,48.0,0.0,5.0,6.0,0.0,4.0,28.0,0.0,0.0,,0.0,26.0,13.0,,5.0,0.0,7
Greenland,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Grenada,446.0,0.0,,,0.0,8.0,0.0,3.0,,,36.0,16.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,18.0,8.0,,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,0.0,267.0,7.0,0.0,,,0.0,7.0,0.0,0.0,,,0.0,26.0,0.0,9.0,0.0,0.0,8.0,,0.0,0.0,0.0,1
Guadeloupe,38.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,5.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,3.0,0.0,0.0,,0.0,,0.0,0.0,0
Guatemala,5375.0,14.0,7.0,93.0,24.0,2047.0,37.0,69.0,9.0,10.0,345.0,98.0,,4.0,8.0,207.0,22.0,31.0,15.0,15.0,30.0,3.0,147.0,217.0,19.0,29.0,5.0,19.0,,56.0,102.0,5.0,232.0,15.0,315.0,74.0,,23.0,27.0,56.0,49.0,8.0,127.0,15.0,7.0,31.0,385.0,0.0,0.0,47.0,,152.0,67.0,3.0,19.0,,29
Guinea,418.0,,0.0,3.0,0.0,7.0,,8.0,6.0,,7.0,42.0,0.0,0.0,0.0,10.0,8.0,,,,3.0,,46.0,16.0,7.0,9.0,0.0,,0.0,0.0,0.0,0.0,13.0,0.0,90.0,7.0,0.0,33.0,0.0,0.0,26.0,,,5.0,0.0,,22.0,0.0,0.0,0.0,0.0,17.0,11.0,,,0.0,3
Guinea-Bissau,17.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Guyana,4932.0,9.0,,11.0,0.0,58.0,3.0,77.0,17.0,13.0,532.0,152.0,,5.0,0.0,24.0,6.0,3.0,3.0,4.0,9.0,,153.0,37.0,7.0,75.0,,5.0,0.0,0.0,,,410.0,,3001.0,38.0,0.0,16.0,6.0,0.0,57.0,0.0,,15.0,0.0,13.0,62.0,,7.0,,,47.0,9.0,0.0,6.0,0.0,28
Haiti,12291.0,13.0,,11.0,,74.0,16.0,262.0,58.0,14.0,6002.0,340.0,5.0,18.0,,85.0,33.0,,12.0,28.0,26.0,4.0,197.0,1150.0,23.0,7.0,4.0,27.0,0.0,3.0,12.0,14.0,923.0,3.0,2101.0,59.0,0.0,30.0,15.0,7.0,293.0,3.0,61.0,22.0,0.0,18.0,58.0,3.0,7.0,8.0,0.0,98.0,27.0,4.0,5.0,0.0,102
Honduras,3056.0,13.0,3.0,27.0,8.0,363.0,32.0,29.0,6.0,5.0,678.0,73.0,,10.0,6.0,50.0,20.0,3.0,8.0,10.0,163.0,0.0,67.0,75.0,11.0,14.0,12.0,14.0,,4.0,22.0,6.0,179.0,4.0,320.0,92.0,0.0,16.0,16.0,6.0,43.0,6.0,,16.0,0.0,23.0,369.0,,,13.0,0.0,137.0,28.0,,16.0,,31
Hong Kong,2198.0,4.0,,21.0,0.0,886.0,18.0,5.0,3.0,,63.0,36.0,,31.0,,42.0,4.0,4.0,7.0,7.0,4.0,3.0,32.0,104.0,29.0,17.0,3.0,7.0,0.0,,21.0,,70.0,3.0,345.0,25.0,0.0,15.0,10.0,12.0,45.0,3.0,0.0,3.0,4.0,3.0,140.0,0.0,,7.0,,23.0,99.0,3.0,22.0,0.0,5
Hungary,916.0,4.0,3.0,18.0,0.0,169.0,28.0,20.0,,,161.0,10.0,0.0,3.0,,25.0,6.0,,4.0,4.0,,,13.0,31.0,7.0,,0.0,3.0,,3.0,26.0,3.0,68.0,,101.0,15.0,0.0,24.0,,7.0,25.0,0.0,,,,5.0,49.0,0.0,0.0,5.0,0.0,24.0,17.0,,5.0,3.0,6
Iceland,51.0,,0.0,,0.0,10.0,0.0,0.0,0.0,,5.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,4.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,2
India,61142.0,330.0,11.0,727.0,159.0,12719.0,376.0,828.0,339.0,25.0,2123.0,2627.0,6.0,15.0,34.0,4098.0,648.0,182.0,330.0,286.0,208.0,35.0,1470.0,2079.0,1768.0,586.0,147.0,559.0,11.0,85.0,232.0,270.0,6526.0,87.0,3603.0,1318.0,26.0,1364.0,222.0,348.0,2492.0,7.0,55.0,389.0,18.0,562.0,5876.0,0.0,7.0,109.0,28.0,2309.0,1686.0,55.0,493.0,3.0,246
Indonesia,2765.0,,4.0,33.0,5.0,1314.0,39.0,21.0,6.0,5.0,59.0,103.0,,24.0,0.0,39.0,9.0,6.0,6.0,10.0,11.0,3.0,55.0,23.0,15.0,15.0,,5.0,0.0,4.0,27.0,19.0,81.0,3.0,232.0,31.0,0.0,26.0,11.0,31.0,165.0,0.0,5.0,7.0,0.0,10.0,155.0,0.0,0.0,8.0,0.0,57.0,62.0,,9.0,,5
Iran,9337.0,29.0,3.0,164.0,11.0,4950.0,101.0,31.0,8.0,12.0,246.0,216.0,,5.0,7.0,190.0,29.0,5.0,41.0,23.0,14.0,10.0,329.0,149.0,73.0,32.0,5.0,59.0,0.0,8.0,112.0,13.0,112.0,31.0,339.0,75.0,4.0,64.0,73.0,85.0,100.0,0.0,8.0,21.0,,84.0,680.0,0.0,0.0,75.0,0.0,436.0,193.0,10.0,18.0,,50
Iraq,3489.0,,,152.0,0.0,722.0,34.0,18.0,0.0,0.0,64.0,56.0,0.0,,,200.0,7.0,15.0,8.0,20.0,17.0,5.0,17.0,28.0,1080.0,40.0,,48.0,3.0,43.0,24.0,6.0,19.0,13.0,60.0,12.0,3.0,40.0,15.0,29.0,64.0,0.0,3.0,91.0,5.0,160.0,141.0,,0.0,12.0,0.0,118.0,44.0,,3.0,0.0,38
Ireland,1178.0,4.0,,21.0,,162.0,13.0,43.0,3.0,6.0,65.0,22.0,0.0,,,46.0,3.0,,3.0,7.0,,5.0,22.0,156.0,11.0,11.0,4.0,6.0,0.0,,8.0,9.0,58.0,0.0,252.0,11.0,,11.0,,15.0,44.0,0.0,3.0,8.0,0.0,3.0,42.0,0.0,0.0,3.0,,33.0,34.0,,9.0,,4
Israel,3205.0,9.0,0.0,25.0,3.0,828.0,16.0,18.0,,6.0,365.0,71.0,0.0,7.0,0.0,111.0,11.0,4.0,5.0,6.0,12.0,,70.0,117.0,36.0,17.0,,24.0,0.0,,29.0,8.0,182.0,6.0,650.0,43.0,0.0,57.0,5.0,10.0,98.0,3.0,7.0,20.0,4.0,23.0,134.0,0.0,,7.0,,38.0,62.0,0.0,20.0,0.0,31
Italy,2064.0,7.0,,24.0,,332.0,10.0,57.0,11.0,10.0,225.0,32.0,0.0,8.0,3.0,60.0,8.0,3.0,3.0,3.0,3.0,4.0,47.0,100.0,42.0,4.0,6.0,6.0,,,16.0,5.0,173.0,4.0,378.0,41.0,,41.0,6.0,18.0,103.0,3.0,3.0,12.0,0.0,9.0,78.0,0.0,0.0,7.0,4.0,49.0,58.0,3.0,7.0,,31
Jamaica,12070.0,30.0,4.0,29.0,3.0,189.0,37.0,483.0,62.0,38.0,3582.0,737.0,5.0,30.0,,148.0,21.0,,19.0,22.0,15.0,13.0,427.0,270.0,55.0,17.0,23.0,35.0,,4.0,8.0,19.0,774.0,5.0,3593.0,135.0,0.0,72.0,22.0,6.0,393.0,,14.0,73.0,0.0,25.0,243.0,3.0,8.0,3.0,3.0,206.0,26.0,10.0,28.0,,96
Japan,1622.0,9.0,5.0,22.0,0.0,602.0,25.0,9.0,,4.0,34.0,36.0,8.0,110.0,3.0,37.0,10.0,5.0,0.0,6.0,,0.0,22.0,34.0,26.0,8.0,7.0,9.0,0.0,,24.0,4.0,52.0,5.0,149.0,21.0,0.0,21.0,7.0,25.0,17.0,0.0,5.0,12.0,0.0,5.0,53.0,,,23.0,,50.0,79.0,5.0,5.0,0.0,19
Jordan,2436.0,17.0,0.0,28.0,4.0,394.0,26.0,7.0,11.0,,127.0,46.0,0.0,0.0,,292.0,32.0,10.0,12.0,27.0,47.0,0.0,22.0,41.0,121.0,27.0,11.0,26.0,0.0,5.0,5.0,3.0,159.0,3.0,145.0,62.0,0.0,141.0,18.0,11.0,77.0,9.0,5.0,23.0,0.0,37.0,222.0,0.0,6.0,,0.0,60.0,39.0,,40.0,0.0,33
Kazakhstan,763.0,,3.0,8.0,,118.0,20.0,6.0,,3.0,39.0,13.0,0.0,,0.0,26.0,,,,3.0,,,12.0,36.0,9.0,25.0,,7.0,0.0,,6.0,,43.0,3.0,132.0,11.0,,15.0,0.0,20.0,28.0,0.0,,10.0,0.0,7.0,27.0,0.0,0.0,,,19.0,86.0,0.0,5.0,,2
Kenya,3043.0,33.0,,32.0,4.0,280.0,21.0,20.0,78.0,10.0,101.0,217.0,,14.0,5.0,57.0,35.0,28.0,83.0,20.0,10.0,3.0,173.0,214.0,31.0,180.0,3.0,66.0,0.0,13.0,13.0,17.0,165.0,4.0,68.0,98.0,,56.0,47.0,8.0,110.0,0.0,5.0,43.0,0.0,37.0,394.0,0.0,0.0,4.0,,96.0,102.0,5.0,14.0,0.0,20
Kiribati,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Korea, North",13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1
