,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Iraq,12110.0,44.0,3.0,751.0,15.0,2768.0,150.0,71.0,0.0,29.0,175.0,217.0,0.0,0.0,116.0,760.0,24.0,54.0,69.0,133.0,31.0,23.0,127.0,139.0,2691.0,68.0,5.0,192.0,5.0,86.0,38.0,38.0,91.0,50.0,289.0,177.0,46.0,153.0,56.0,50.0,231.0,,19.0,54.0,23.0,232.0,813.0,,0.0,112.0,30.0,559.0,244.0,8.0,45.0,3.0,0
Ireland,1637.0,,0.0,16.0,,279.0,19.0,40.0,,6.0,90.0,27.0,0.0,4.0,3.0,85.0,13.0,10.0,5.0,14.0,3.0,3.0,27.0,235.0,13.0,12.0,6.0,7.0,3.0,,12.0,9.0,48.0,,362.0,25.0,,22.0,,17.0,50.0,0.0,6.0,,,5.0,47.0,0.0,,3.0,,37.0,47.0,3.0,6.0,0.0,0
Israel,5612.0,16.0,,59.0,6.0,1412.0,39.0,36.0,6.0,6.0,624.0,132.0,0.0,12.0,,170.0,20.0,18.0,13.0,16.0,38.0,,95.0,238.0,70.0,20.0,,33.0,0.0,3.0,98.0,6.0,360.0,14.0,1152.0,53.0,,89.0,10.0,36.0,121.0,5.0,8.0,18.0,,42.0,277.0,,,7.0,,64.0,142.0,3.0,12.0,,0
Italy,2892.0,11.0,3.0,31.0,3.0,465.0,46.0,59.0,12.0,27.0,370.0,53.0,,11.0,7.0,104.0,23.0,7.0,18.0,3.0,11.0,3.0,59.0,130.0,57.0,13.0,,9.0,,,26.0,9.0,150.0,12.0,520.0,61.0,,37.0,5.0,22.0,101.0,15.0,16.0,23.0,,11.0,140.0,,0.0,13.0,,93.0,67.0,5.0,17.0,,0
Jamaica,21783.0,68.0,3.0,77.0,4.0,324.0,59.0,1031.0,67.0,83.0,6655.0,973.0,0.0,7.0,3.0,260.0,51.0,14.0,12.0,16.0,69.0,20.0,693.0,587.0,116.0,40.0,55.0,65.0,4.0,4.0,40.0,20.0,1309.0,6.0,7104.0,202.0,,114.0,10.0,12.0,573.0,0.0,28.0,158.0,,50.0,344.0,,26.0,3.0,23.0,289.0,44.0,13.0,50.0,,0
Japan,7690.0,26.0,11.0,82.0,19.0,2339.0,84.0,63.0,7.0,27.0,230.0,141.0,61.0,534.0,28.0,237.0,48.0,18.0,38.0,65.0,29.0,12.0,130.0,173.0,185.0,68.0,12.0,46.0,12.0,20.0,107.0,13.0,231.0,14.0,857.0,128.0,6.0,142.0,35.0,127.0,149.0,4.0,4.0,36.0,3.0,59.0,296.0,6.0,12.0,55.0,12.0,156.0,431.0,18.0,38.0,6.0,0
Jordan,4282.0,42.0,0.0,53.0,17.0,625.0,27.0,36.0,8.0,7.0,212.0,56.0,0.0,,3.0,560.0,51.0,11.0,15.0,45.0,92.0,4.0,53.0,40.0,238.0,40.0,9.0,45.0,,9.0,21.0,,238.0,36.0,355.0,140.0,,294.0,24.0,13.0,86.0,14.0,3.0,33.0,,92.0,370.0,0.0,17.0,24.0,,126.0,49.0,5.0,34.0,,0
Kazakhstan,1562.0,11.0,9.0,31.0,4.0,221.0,25.0,12.0,,6.0,85.0,30.0,0.0,0.0,7.0,56.0,14.0,6.0,5.0,15.0,12.0,4.0,35.0,72.0,20.0,25.0,,14.0,4.0,0.0,7.0,6.0,77.0,6.0,246.0,29.0,,38.0,4.0,47.0,92.0,0.0,3.0,14.0,0.0,9.0,81.0,,0.0,5.0,6.0,58.0,95.0,0.0,10.0,0.0,0
Kenya,9880.0,133.0,6.0,248.0,10.0,660.0,128.0,42.0,126.0,25.0,135.0,512.0,0.0,6.0,30.0,137.0,118.0,77.0,192.0,177.0,20.0,177.0,383.0,589.0,100.0,1159.0,4.0,272.0,,84.0,28.0,110.0,332.0,11.0,306.0,223.0,68.0,449.0,63.0,121.0,269.0,0.0,17.0,23.0,42.0,135.0,1085.0,0.0,,107.0,19.0,201.0,618.0,7.0,91.0,,0
Kiribati,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
"Korea, North",67.0,0.0,0.0,5.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,11.0,,0.0,0.0,0.0,0
"Korea, South",25859.0,245.0,71.0,181.0,46.0,8729.0,242.0,172.0,44.0,19.0,549.0,1350.0,94.0,264.0,19.0,954.0,138.0,75.0,84.0,89.0,73.0,12.0,866.0,452.0,410.0,143.0,28.0,164.0,13.0,25.0,193.0,39.0,2024.0,39.0,2294.0,424.0,16.0,254.0,88.0,205.0,517.0,,26.0,87.0,10.0,193.0,1293.0,,19.0,76.0,12.0,1446.0,919.0,25.0,100.0,6.0,0
Kuwait,1124.0,7.0,0.0,15.0,3.0,164.0,11.0,,0.0,,69.0,44.0,0.0,0.0,,79.0,13.0,9.0,19.0,4.0,25.0,,25.0,18.0,57.0,7.0,3.0,9.0,,0.0,8.0,,50.0,0.0,124.0,26.0,0.0,60.0,12.0,10.0,16.0,,0.0,3.0,0.0,21.0,126.0,0.0,0.0,7.0,0.0,42.0,25.0,0.0,3.0,0.0,0
Kyrgyzstan,574.0,3.0,8.0,7.0,,70.0,6.0,7.0,0.0,3.0,25.0,5.0,0.0,4.0,0.0,21.0,4.0,,,5.0,5.0,,5.0,17.0,5.0,22.0,,5.0,,,7.0,6.0,21.0,,100.0,3.0,,18.0,,19.0,33.0,,0.0,6.0,0.0,4.0,17.0,,0.0,5.0,,24.0,53.0,,8.0,,0
