,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Guinea,1555.0,9.0,0.0,10.0,3.0,21.0,7.0,15.0,6.0,5.0,8.0,91.0,0.0,0.0,0.0,25.0,32.0,6.0,3.0,10.0,0.0,0.0,102.0,64.0,27.0,49.0,0.0,5.0,,0.0,,,61.0,,693.0,13.0,0.0,59.0,,3.0,100.0,0.0,8.0,,0.0,17.0,27.0,0.0,0.0,,,37.0,18.0,0.0,9.0,0.0,0
Guinea-Bissau,29.0,0.0,0.0,0.0,,,0.0,4.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0
Guyana,6599.0,5.0,0.0,3.0,,49.0,,101.0,21.0,15.0,480.0,135.0,0.0,0.0,0.0,14.0,12.0,,3.0,7.0,6.0,0.0,157.0,48.0,10.0,87.0,,5.0,0.0,0.0,,0.0,617.0,3.0,4541.0,38.0,0.0,20.0,3.0,,85.0,,,8.0,0.0,4.0,48.0,,7.0,,0.0,43.0,7.0,,0.0,0.0,0
Haiti,22111.0,13.0,0.0,30.0,,101.0,41.0,445.0,106.0,5.0,11446.0,320.0,0.0,3.0,6.0,107.0,47.0,11.0,17.0,41.0,57.0,6.0,268.0,1916.0,37.0,39.0,3.0,51.0,9.0,5.0,13.0,18.0,1800.0,3.0,4054.0,68.0,4.0,42.0,9.0,14.0,486.0,5.0,75.0,18.0,8.0,39.0,79.0,,81.0,25.0,3.0,75.0,32.0,4.0,22.0,0.0,0
Honduras,6133.0,21.0,5.0,48.0,25.0,744.0,50.0,54.0,10.0,35.0,1351.0,155.0,0.0,9.0,8.0,117.0,72.0,27.0,25.0,12.0,235.0,3.0,217.0,128.0,51.0,34.0,12.0,33.0,,25.0,52.0,4.0,341.0,16.0,645.0,183.0,0.0,26.0,31.0,22.0,59.0,7.0,15.0,34.0,,63.0,753.0,0.0,,30.0,,266.0,38.0,,31.0,,0
Hong Kong,2306.0,5.0,0.0,15.0,,1067.0,15.0,20.0,3.0,,50.0,25.0,,39.0,,51.0,6.0,6.0,,3.0,3.0,3.0,30.0,96.0,17.0,6.0,3.0,7.0,4.0,5.0,18.0,9.0,73.0,0.0,363.0,21.0,0.0,13.0,,22.0,41.0,0.0,0.0,,,7.0,109.0,0.0,3.0,12.0,,23.0,88.0,,9.0,,0
Hungary,1044.0,3.0,,16.0,,169.0,17.0,25.0,3.0,,214.0,18.0,0.0,5.0,,22.0,7.0,0.0,9.0,6.0,4.0,,20.0,26.0,11.0,12.0,4.0,4.0,,3.0,25.0,4.0,81.0,3.0,137.0,26.0,0.0,27.0,,4.0,18.0,,,4.0,0.0,8.0,43.0,0.0,0.0,7.0,,26.0,12.0,0.0,9.0,0.0,0
Iceland,90.0,,0.0,,0.0,15.0,,,0.0,,13.0,3.0,0.0,,,,0.0,,,0.0,0.0,,,6.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,7.0,3.0,0.0,0.0,0.0,,,0.0,,,4.0,0.0,,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,,0
India,69013.0,317.0,21.0,988.0,278.0,15061.0,481.0,1108.0,362.0,48.0,1855.0,2311.0,,19.0,89.0,4532.0,643.0,242.0,308.0,269.0,221.0,54.0,1744.0,2139.0,1602.0,767.0,154.0,525.0,18.0,139.0,221.0,231.0,8341.0,96.0,4805.0,1325.0,37.0,1557.0,281.0,487.0,2396.0,6.0,78.0,301.0,37.0,613.0,5907.0,,6.0,141.0,51.0,2909.0,2168.0,54.0,647.0,19.0,0
Indonesia,2856.0,10.0,7.0,40.0,16.0,1091.0,83.0,15.0,4.0,6.0,81.0,76.0,5.0,20.0,,74.0,10.0,11.0,9.0,14.0,16.0,5.0,51.0,31.0,18.0,27.0,8.0,19.0,3.0,6.0,43.0,55.0,83.0,4.0,211.0,21.0,0.0,38.0,21.0,34.0,124.0,0.0,,13.0,3.0,12.0,176.0,0.0,4.0,17.0,3.0,54.0,152.0,6.0,22.0,0.0,0
Iran,14822.0,41.0,7.0,289.0,16.0,8164.0,125.0,53.0,11.0,43.0,386.0,321.0,,5.0,34.0,289.0,43.0,19.0,47.0,57.0,27.0,19.0,496.0,199.0,135.0,71.0,8.0,63.0,,18.0,105.0,22.0,175.0,23.0,380.0,106.0,5.0,126.0,91.0,88.0,148.0,4.0,18.0,29.0,,152.0,1228.0,0.0,,105.0,4.0,639.0,330.0,17.0,35.0,,0
Iraq,21133.0,59.0,8.0,1294.0,30.0,5226.0,220.0,121.0,,14.0,376.0,342.0,0.0,7.0,192.0,1297.0,75.0,138.0,61.0,352.0,80.0,136.0,221.0,563.0,3326.0,216.0,5.0,349.0,5.0,106.0,102.0,84.0,122.0,85.0,667.0,246.0,78.0,386.0,42.0,217.0,442.0,0.0,19.0,36.0,36.0,423.0,1728.0,0.0,,263.0,30.0,655.0,501.0,14.0,133.0,0.0,0
