,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
New Zealand,893.0,4.0,6.0,20.0,3.0,205.0,33.0,15.0,0.0,8.0,45.0,19.0,4.0,30.0,12.0,35.0,6.0,4.0,4.0,11.0,4.0,4.0,13.0,26.0,11.0,9.0,,18.0,4.0,,16.0,5.0,21.0,4.0,78.0,18.0,,7.0,9.0,22.0,21.0,0.0,,3.0,,4.0,53.0,0.0,0.0,19.0,,21.0,23.0,0.0,6.0,0.0
Nicaragua,3614.0,8.0,,26.0,5.0,860.0,16.0,20.0,,14.0,1522.0,53.0,0.0,,0.0,35.0,20.0,5.0,,6.0,38.0,,92.0,27.0,17.0,15.0,7.0,13.0,0.0,6.0,61.0,0.0,70.0,5.0,168.0,47.0,,15.0,6.0,9.0,24.0,16.0,,10.0,,20.0,193.0,0.0,,9.0,,108.0,24.0,0.0,11.0,0.0
Niger,107.0,0.0,0.0,0.0,,,,0.0,0.0,,,4.0,0.0,0.0,0.0,,15.0,0.0,0.0,0.0,,0.0,3.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,14.0,18.0,0.0,8.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Nigeria,12475.0,52.0,12.0,101.0,22.0,1103.0,71.0,131.0,40.0,83.0,375.0,1020.0,,4.0,5.0,678.0,237.0,29.0,41.0,49.0,68.0,5.0,1692.0,287.0,199.0,273.0,33.0,119.0,,20.0,35.0,18.0,778.0,18.0,1330.0,282.0,4.0,229.0,65.0,19.0,291.0,0.0,85.0,50.0,,111.0,1906.0,3.0,,16.0,,270.0,105.0,8.0,95.0,0.0
Niue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,350.0,0.0,,7.0,,61.0,4.0,3.0,0.0,,31.0,9.0,0.0,5.0,4.0,13.0,4.0,,,4.0,10.0,3.0,8.0,12.0,13.0,11.0,0.0,6.0,,,,0.0,8.0,,20.0,,,3.0,3.0,,5.0,0.0,0.0,,,7.0,36.0,0.0,0.0,8.0,,10.0,13.0,,6.0,0.0
Oman,70.0,,0.0,,,6.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,4.0,,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,18.0,4.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,0.0
Pakistan,19719.0,105.0,,110.0,52.0,2582.0,53.0,359.0,71.0,23.0,732.0,495.0,0.0,3.0,,1310.0,125.0,53.0,83.0,66.0,127.0,9.0,767.0,354.0,487.0,151.0,39.0,189.0,,25.0,131.0,38.0,1402.0,34.0,4166.0,266.0,5.0,257.0,88.0,42.0,543.0,,28.0,43.0,4.0,107.0,2345.0,0.0,6.0,61.0,6.0,1329.0,258.0,31.0,151.0,
Palau,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,1678.0,7.0,4.0,21.0,4.0,149.0,10.0,16.0,3.0,12.0,438.0,88.0,0.0,,0.0,18.0,15.0,3.0,4.0,12.0,21.0,4.0,46.0,17.0,8.0,7.0,15.0,16.0,0.0,,10.0,0.0,52.0,,250.0,43.0,0.0,15.0,4.0,6.0,29.0,18.0,6.0,12.0,0.0,27.0,145.0,0.0,,16.0,4.0,67.0,19.0,,10.0,
