,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Benin,183.0,,0.0,0.0,0.0,14.0,3.0,4.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,20.0,12.0,,0.0,,0.0,,21.0,6.0,4.0,4.0,,4.0,0.0,,0.0,0.0,4.0,0.0,12.0,4.0,0.0,4.0,,0.0,17.0,0.0,,4.0,0.0,3.0,7.0,,0.0,,0.0,9.0,0.0,0.0,,,1
Bermuda,58.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,,,,,0.0,0.0,,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0
Bhutan,55.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,,0
Bolivia,1446.0,7.0,,6.0,,142.0,16.0,8.0,,5.0,229.0,10.0,,0.0,,19.0,,,7.0,3.0,6.0,0.0,98.0,26.0,3.0,9.0,,,0.0,0.0,11.0,7.0,49.0,,104.0,8.0,0.0,8.0,3.0,7.0,16.0,4.0,28.0,16.0,0.0,7.0,68.0,3.0,0.0,15.0,0.0,350.0,13.0,5.0,3.0,0.0,116
Bosnia-Herzegovina,4259.0,6.0,,163.0,0.0,172.0,45.0,91.0,,,459.0,204.0,0.0,,62.0,306.0,56.0,179.0,8.0,194.0,15.0,18.0,19.0,63.0,182.0,87.0,4.0,427.0,0.0,26.0,54.0,59.0,48.0,0.0,272.0,53.0,44.0,157.0,,42.0,120.0,0.0,,4.0,18.0,50.0,157.0,4.0,0.0,89.0,32.0,55.0,133.0,0.0,51.0,0.0,23
Botswana,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brazil,10251.0,25.0,9.0,62.0,13.0,1009.0,73.0,378.0,14.0,12.0,2666.0,329.0,4.0,45.0,10.0,137.0,35.0,13.0,19.0,11.0,33.0,15.0,152.0,2017.0,78.0,45.0,8.0,31.0,3.0,6.0,66.0,97.0,708.0,11.0,641.0,113.0,4.0,88.0,22.0,31.0,140.0,5.0,58.0,74.0,,39.0,401.0,15.0,,111.0,15.0,136.0,89.0,,35.0,4.0,91
British Virgin Islands,48.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,14.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brunei,11.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
Bulgaria,3103.0,11.0,3.0,71.0,7.0,409.0,52.0,32.0,9.0,4.0,242.0,114.0,0.0,6.0,,599.0,16.0,4.0,12.0,17.0,9.0,11.0,54.0,155.0,47.0,30.0,0.0,42.0,0.0,,131.0,13.0,101.0,6.0,260.0,31.0,3.0,32.0,9.0,23.0,95.0,0.0,,45.0,4.0,13.0,117.0,,0.0,9.0,0.0,74.0,114.0,,27.0,0.0,32
