,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
Spain,1256,,,13.0,,197.0,15.0,17.0,,8.0,198.0,6.0,5.0,,26.0,9.0,,,4.0,3.0,4.0,30.0,31.0,16.0,16.0,,5.0,,,15.0,0.0,182.0,3.0,169.0,9.0,0.0,11.0,,4.0,24.0,9.0,3.0,,6.0,68.0,6.0,0.0,39.0,20.0,,5.0,0.0,54.0,8
Sri Lanka,927,,,5.0,0.0,277.0,3.0,6.0,0.0,4.0,34.0,4.0,10.0,0.0,20.0,,0.0,,5.0,3.0,0.0,69.0,28.0,14.0,15.0,4.0,8.0,,,8.0,0.0,54.0,,118.0,11.0,,34.0,,6.0,22.0,3.0,3.0,0.0,4.0,49.0,,0.0,55.0,15.0,,8.0,0.0,,8
Sudan,1551,4.0,,51.0,,111.0,66.0,25.0,0.0,5.0,30.0,17.0,0.0,,51.0,,3.0,5.0,9.0,11.0,17.0,46.0,33.0,33.0,90.0,,29.0,0.0,62.0,6.0,7.0,38.0,0.0,71.0,75.0,12.0,30.0,0.0,8.0,69.0,0.0,0.0,27.0,55.0,110.0,21.0,0.0,196.0,50.0,0.0,22.0,0.0,0.0,47
Suriname,125,0.0,0.0,0.0,0.0,8.0,,,,0.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,2
Sweden,980,3.0,6.0,19.0,,306.0,26.0,29.0,,6.0,67.0,10.0,5.0,3.0,22.0,,0.0,0.0,4.0,,7.0,19.0,32.0,9.0,23.0,,,,0.0,7.0,13.0,35.0,5.0,85.0,14.0,0.0,11.0,,9.0,25.0,,4.0,0.0,5.0,55.0,9.0,,27.0,54.0,,6.0,0.0,0.0,6
Switzerland,541,0.0,5.0,7.0,,151.0,14.0,19.0,0.0,3.0,40.0,12.0,4.0,,15.0,4.0,0.0,,,,,6.0,16.0,12.0,6.0,,0.0,,0.0,5.0,3.0,30.0,,56.0,10.0,0.0,,,6.0,13.0,3.0,0.0,,5.0,32.0,,,20.0,13.0,0.0,7.0,,0.0,4
Syria,2252,5.0,0.0,10.0,15.0,667.0,13.0,17.0,4.0,,103.0,15.0,,0.0,143.0,17.0,0.0,4.0,,6.0,,19.0,58.0,135.0,4.0,,10.0,0.0,4.0,16.0,,144.0,,299.0,20.0,0.0,70.0,12.0,16.0,172.0,11.0,3.0,,16.0,80.0,0.0,0.0,58.0,19.0,16.0,11.0,0.0,3.0,27
Taiwan,8295,7.0,4.0,78.0,9.0,4715.0,36.0,47.0,12.0,,90.0,74.0,86.0,5.0,132.0,26.0,,15.0,7.0,9.0,0.0,158.0,196.0,84.0,27.0,4.0,36.0,0.0,7.0,56.0,9.0,342.0,12.0,567.0,59.0,0.0,123.0,14.0,51.0,94.0,4.0,4.0,,37.0,502.0,36.0,3.0,148.0,293.0,7.0,24.0,0.0,7.0,34
Tajikistan,116,0.0,0.0,,0.0,13.0,5.0,3.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,56.0,0.0,0.0,3.0,0.0,4.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,1
Tanzania,363,0.0,0.0,4.0,,53.0,,5.0,0.0,4.0,35.0,7.0,0.0,0.0,13.0,8.0,0.0,,0.0,,,21.0,6.0,5.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,6.0,39.0,7.0,0.0,8.0,,,13.0,,6.0,0.0,3.0,42.0,0.0,0.0,12.0,,,5.0,0.0,,3
