,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
Honduras,3953,10.0,3.0,17.0,4.0,743.0,29.0,34.0,,9.0,740.0,29.0,5.0,,98.0,36.0,0.0,16.0,8.0,162.0,0.0,90.0,126.0,16.0,17.0,5.0,13.0,0.0,20.0,32.0,5.0,319.0,9.0,638.0,66.0,,23.0,21.0,7.0,32.0,12.0,9.0,0.0,24.0,300.0,12.0,,92.0,41.0,3.0,10.0,,14.0,47
Hong Kong,4479,4.0,5.0,16.0,0.0,2265.0,23.0,23.0,5.0,6.0,65.0,25.0,101.0,7.0,114.0,6.0,0.0,6.0,4.0,4.0,3.0,62.0,192.0,35.0,24.0,,6.0,0.0,,34.0,4.0,126.0,7.0,672.0,34.0,,51.0,3.0,35.0,51.0,8.0,13.0,0.0,13.0,152.0,11.0,0.0,48.0,169.0,,13.0,0.0,8.0,19
Hungary,720,0.0,5.0,11.0,,191.0,7.0,26.0,,,75.0,3.0,4.0,,30.0,,0.0,,0.0,,,12.0,15.0,5.0,6.0,,,0.0,0.0,17.0,3.0,55.0,,99.0,14.0,0.0,19.0,,4.0,18.0,0.0,,0.0,3.0,24.0,,3.0,25.0,16.0,0.0,4.0,0.0,0.0,5
Iceland,82,0.0,0.0,3.0,0.0,12.0,3.0,,0.0,0.0,11.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,4.0,,3.0,,,0.0,0.0,,0.0,3.0,,8.0,0.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,,9.0,4.0,0.0,,0.0,0.0,0
India,35962,93.0,6.0,221.0,62.0,8092.0,177.0,587.0,148.0,22.0,939.0,765.0,14.0,17.0,3021.0,242.0,9.0,142.0,120.0,97.0,20.0,859.0,1024.0,1029.0,255.0,76.0,153.0,0.0,46.0,103.0,85.0,4214.0,49.0,3507.0,582.0,8.0,1057.0,158.0,197.0,1681.0,41.0,90.0,8.0,304.0,3051.0,44.0,20.0,1253.0,646.0,42.0,279.0,7.0,12.0,288
Indonesia,1234,,,14.0,,678.0,18.0,7.0,,,30.0,11.0,16.0,,16.0,7.0,0.0,6.0,4.0,3.0,,22.0,16.0,11.0,9.0,,,0.0,,17.0,0.0,27.0,0.0,55.0,10.0,0.0,17.0,4.0,17.0,30.0,,4.0,,4.0,67.0,4.0,,35.0,39.0,0.0,5.0,0.0,3.0,9
Iran,11031,22.0,,107.0,12.0,6370.0,82.0,57.0,9.0,10.0,210.0,146.0,10.0,3.0,209.0,28.0,,45.0,41.0,23.0,7.0,333.0,198.0,106.0,51.0,3.0,33.0,4.0,12.0,58.0,7.0,171.0,13.0,539.0,70.0,,116.0,44.0,77.0,116.0,14.0,15.0,0.0,80.0,619.0,55.0,3.0,512.0,234.0,13.0,32.0,,3.0,104
Iraq,3273,,0.0,76.0,0.0,583.0,10.0,27.0,,,24.0,37.0,,3.0,245.0,20.0,0.0,,22.0,3.0,,21.0,35.0,1145.0,33.0,0.0,63.0,0.0,45.0,12.0,5.0,15.0,7.0,61.0,4.0,6.0,30.0,0.0,14.0,44.0,,6.0,5.0,204.0,127.0,13.0,0.0,146.0,99.0,3.0,8.0,0.0,0.0,62
Ireland,1995,,,13.0,6.0,394.0,20.0,49.0,4.0,3.0,80.0,27.0,7.0,,95.0,5.0,0.0,0.0,13.0,7.0,6.0,19.0,300.0,15.0,14.0,,3.0,0.0,,8.0,17.0,87.0,5.0,491.0,28.0,0.0,26.0,,9.0,70.0,7.0,4.0,0.0,8.0,38.0,8.0,,40.0,30.0,,13.0,,0.0,12
Israel,2436,3.0,,16.0,4.0,652.0,16.0,27.0,,,168.0,29.0,,0.0,98.0,9.0,0.0,4.0,12.0,6.0,,66.0,87.0,34.0,11.0,,11.0,0.0,,29.0,,145.0,4.0,606.0,21.0,,67.0,4.0,7.0,77.0,0.0,7.0,,15.0,70.0,,5.0,35.0,31.0,0.0,14.0,,3.0,28
Italy,2511,0.0,0.0,13.0,,364.0,18.0,107.0,8.0,7.0,155.0,16.0,15.0,,140.0,6.0,0.0,3.0,4.0,6.0,5.0,49.0,146.0,76.0,11.0,4.0,10.0,,0.0,20.0,3.0,238.0,4.0,612.0,28.0,0.0,67.0,,8.0,117.0,22.0,4.0,,5.0,45.0,11.0,3.0,63.0,40.0,6.0,17.0,,8.0,20
Jamaica,13674,15.0,8.0,24.0,,312.0,28.0,775.0,56.0,25.0,2904.0,384.0,20.0,,152.0,18.0,0.0,13.0,20.0,15.0,7.0,486.0,418.0,81.0,18.0,8.0,22.0,0.0,,10.0,8.0,1021.0,9.0,5521.0,119.0,5.0,80.0,17.0,9.0,356.0,17.0,13.0,0.0,21.0,184.0,,5.0,214.0,45.0,6.0,35.0,0.0,19.0,143
Japan,2154,8.0,3.0,14.0,6.0,857.0,19.0,27.0,,6.0,47.0,15.0,313.0,,43.0,7.0,0.0,,9.0,6.0,4.0,37.0,21.0,24.0,10.0,,12.0,,,34.0,,60.0,5.0,177.0,15.0,,37.0,7.0,34.0,19.0,,,,11.0,50.0,20.0,,49.0,87.0,,9.0,0.0,13.0,17
Jordan,2464,,,20.0,5.0,523.0,12.0,13.0,3.0,3.0,109.0,28.0,,,305.0,20.0,0.0,16.0,17.0,35.0,,38.0,51.0,114.0,23.0,5.0,27.0,0.0,,9.0,,167.0,5.0,148.0,42.0,0.0,143.0,8.0,17.0,69.0,,9.0,0.0,37.0,203.0,8.0,0.0,95.0,29.0,,45.0,0.0,19.0,32
Kazakhstan,726,0.0,4.0,5.0,0.0,134.0,14.0,8.0,,,14.0,4.0,,,8.0,,0.0,0.0,,0.0,10.0,11.0,58.0,3.0,15.0,,,,,4.0,,19.0,,148.0,6.0,0.0,12.0,,25.0,46.0,0.0,0.0,,6.0,14.0,4.0,0.0,33.0,85.0,0.0,8.0,,,8
Kenya,1158,4.0,,11.0,,138.0,8.0,5.0,17.0,,65.0,47.0,3.0,,24.0,9.0,0.0,13.0,8.0,4.0,,51.0,71.0,20.0,51.0,0.0,11.0,,,5.0,7.0,101.0,,38.0,26.0,,38.0,4.0,6.0,49.0,,4.0,3.0,6.0,166.0,,,59.0,41.0,0.0,5.0,0.0,0.0,24
Korea,19223,31.0,86.0,90.0,17.0,7363.0,206.0,86.0,45.0,11.0,208.0,333.0,563.0,16.0,712.0,46.0,,52.0,37.0,30.0,,555.0,206.0,189.0,63.0,9.0,69.0,,15.0,147.0,15.0,1315.0,24.0,2281.0,136.0,,161.0,42.0,156.0,548.0,14.0,27.0,,102.0,685.0,53.0,5.0,1182.0,1009.0,3.0,49.0,3.0,80.0,140
Kuwait,846,4.0,,9.0,3.0,152.0,,3.0,0.0,,48.0,9.0,0.0,,57.0,13.0,0.0,7.0,4.0,14.0,0.0,8.0,16.0,57.0,9.0,,12.0,,,,0.0,32.0,3.0,42.0,38.0,0.0,66.0,8.0,7.0,21.0,5.0,,0.0,29.0,86.0,4.0,0.0,28.0,5.0,,20.0,0.0,4.0,10
Kyrgyzstan,217,0.0,0.0,0.0,0.0,40.0,,0.0,0.0,,7.0,0.0,,0.0,4.0,0.0,0.0,,,0.0,,,9.0,5.0,5.0,0.0,0.0,,,0.0,0.0,8.0,0.0,26.0,,0.0,5.0,,11.0,11.0,,,0.0,0.0,3.0,,0.0,12.0,47.0,,,0.0,,3
Laos,5261,10.0,34.0,29.0,72.0,1293.0,38.0,37.0,,,118.0,78.0,36.0,5.0,147.0,9.0,14.0,55.0,,27.0,3.0,12.0,133.0,107.0,1009.0,,11.0,,24.0,43.0,9.0,13.0,16.0,63.0,161.0,,79.0,15.0,59.0,41.0,54.0,10.0,3.0,135.0,174.0,75.0,,61.0,161.0,,650.0,,,125
Latvia,348,0.0,,7.0,0.0,50.0,8.0,6.0,,0.0,10.0,4.0,0.0,0.0,21.0,,0.0,0.0,,0.0,0.0,7.0,14.0,11.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,3.0,88.0,5.0,0.0,8.0,,7.0,14.0,3.0,,0.0,,3.0,,,6.0,22.0,0.0,6.0,0.0,0.0,5
Lebanon,3288,3.0,,25.0,,905.0,25.0,47.0,,,126.0,38.0,0.0,0.0,103.0,17.0,0.0,13.0,4.0,8.0,,31.0,287.0,608.0,21.0,,11.0,0.0,5.0,30.0,3.0,108.0,4.0,163.0,33.0,,129.0,12.0,24.0,50.0,12.0,6.0,0.0,20.0,198.0,9.0,,123.0,23.0,11.0,11.0,0.0,6.0,24
Liberia,1548,,,7.0,0.0,64.0,6.0,17.0,12.0,9.0,21.0,68.0,3.0,0.0,31.0,13.0,0.0,5.0,3.0,3.0,,110.0,67.0,37.0,189.0,0.0,4.0,0.0,,0.0,,116.0,0.0,134.0,54.0,0.0,45.0,7.0,3.0,174.0,113.0,7.0,,12.0,79.0,3.0,,74.0,10.0,,10.0,0.0,3.0,26
Libya,173,0.0,0.0,,0.0,32.0,6.0,6.0,0.0,,9.0,3.0,,0.0,8.0,,0.0,0.0,,0.0,0.0,,7.0,9.0,,0.0,0.0,,0.0,,,6.0,,12.0,,0.0,8.0,0.0,7.0,0.0,0.0,0.0,,3.0,13.0,0.0,0.0,8.0,9.0,3.0,,0.0,0.0,3
Lithuania,887,0.0,,,,78.0,6.0,23.0,0.0,,44.0,8.0,,0.0,404.0,9.0,0.0,0.0,,,0.0,10.0,32.0,12.0,8.0,0.0,0.0,,0.0,10.0,0.0,39.0,,90.0,,0.0,24.0,,3.0,12.0,0.0,0.0,4.0,,8.0,,0.0,14.0,16.0,0.0,7.0,,0.0,7
Macau,195,0.0,0.0,,0.0,113.0,0.0,0.0,0.0,0.0,,0.0,8.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,,0.0,0.0,,0.0,3.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1
Macedonia,651,0.0,6.0,3.0,0.0,22.0,,37.0,0.0,,22.0,0.0,0.0,0.0,87.0,30.0,0.0,,,0.0,0.0,0.0,5.0,75.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,135.0,,87.0,0.0,,36.0,0.0,,10.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,12.0,,0.0,30.0,0.0,0.0,5
Malawi,60,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,,3.0,3.0,,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,,3.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,,0.0,3.0,0.0,,0.0,,8.0,0.0,0.0,3.0,,0.0,,0.0,0.0,1
Malaysia,1221,5.0,,6.0,,385.0,20.0,10.0,3.0,,36.0,25.0,12.0,,36.0,8.0,0.0,11.0,6.0,4.0,,25.0,23.0,12.0,20.0,3.0,8.0,3.0,,8.0,3.0,40.0,,215.0,6.0,3.0,21.0,5.0,9.0,39.0,,,,14.0,92.0,0.0,,28.0,40.0,0.0,7.0,0.0,,13
Mali,85,0.0,0.0,,0.0,10.0,3.0,,0.0,,0.0,9.0,0.0,0.0,,,0.0,0.0,,,0.0,4.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,0.0,3.0,,0.0,9.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,2
Malta,67,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0
Mauritania,56,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,0.0,15.0,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0
Mexico,77089,54.0,84.0,2667.0,263.0,40510.0,1180.0,141.0,70.0,10.0,1039.0,478.0,71.0,282.0,4818.0,449.0,97.0,392.0,77.0,66.0,9.0,152.0,129.0,452.0,293.0,53.0,176.0,14.0,375.0,1600.0,14.0,370.0,640.0,1021.0,479.0,7.0,201.0,329.0,656.0,232.0,40.0,63.0,16.0,229.0,12736.0,528.0,4.0,340.0,1236.0,10.0,591.0,49.0,53.0,1244
Moldova,927,,,6.0,,230.0,4.0,5.0,,0.0,17.0,9.0,0.0,,17.0,0.0,0.0,,0.0,3.0,,10.0,39.0,9.0,24.0,0.0,,0.0,,7.0,0.0,25.0,,203.0,11.0,0.0,25.0,,24.0,48.0,0.0,0.0,,,13.0,3.0,,21.0,141.0,,4.0,0.0,0.0,7
Montserrat,78,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,20.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,1
Morocco,2628,,0.0,4.0,,251.0,72.0,63.0,,8.0,256.0,19.0,4.0,,112.0,13.0,0.0,3.0,8.0,4.0,3.0,55.0,346.0,37.0,27.0,,6.0,3.0,0.0,11.0,7.0,142.0,,368.0,56.0,0.0,108.0,14.0,11.0,126.0,6.0,12.0,,13.0,96.0,3.0,,269.0,33.0,0.0,26.0,0.0,,21
Mozambique,50,0.0,0.0,,0.0,16.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,,0.0,0.0,4.0,,0.0,0.0,0.0,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0
Nepal,417,0.0,0.0,10.0,,68.0,25.0,11.0,,4.0,8.0,7.0,,,8.0,,0.0,,7.0,0.0,0.0,46.0,19.0,6.0,6.0,0.0,0.0,,5.0,0.0,4.0,6.0,3.0,24.0,8.0,0.0,8.0,,10.0,4.0,0.0,0.0,0.0,,34.0,3.0,,57.0,10.0,0.0,,0.0,0.0,2
Netherlands,860,3.0,,24.0,3.0,210.0,28.0,24.0,3.0,,66.0,17.0,4.0,3.0,17.0,,0.0,,3.0,4.0,5.0,23.0,34.0,20.0,14.0,,,,3.0,8.0,,32.0,6.0,58.0,13.0,0.0,25.0,4.0,13.0,25.0,4.0,3.0,0.0,9.0,45.0,6.0,6.0,34.0,30.0,0.0,8.0,0.0,3.0,8
