,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Kazakhstan,872.0,,,11.0,,112.0,8.0,3.0,,0.0,36.0,14.0,3.0,4.0,19.0,,,4.0,,,5.0,29.0,59.0,13.0,18.0,,11.0,0.0,3.0,0.0,5.0,33.0,3.0,195.0,15.0,0.0,14.0,0.0,12.0,43.0,3.0,0.0,,,21.0,0.0,,5.0,0.0,35.0,100.0,0.0,7.0,,10
Kenya,1636.0,14.0,3.0,9.0,3.0,164.0,8.0,9.0,21.0,8.0,97.0,141.0,7.0,,34.0,17.0,5.0,21.0,5.0,3.0,,103.0,95.0,17.0,77.0,4.0,27.0,0.0,4.0,11.0,20.0,117.0,,65.0,75.0,0.0,39.0,11.0,8.0,53.0,,19.0,0.0,14.0,161.0,0.0,,3.0,,54.0,47.0,0.0,10.0,0.0,23
Kiribati,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Korea,17668.0,70.0,54.0,141.0,21.0,5682.0,193.0,65.0,33.0,8.0,380.0,708.0,502.0,5.0,821.0,68.0,5.0,49.0,37.0,16.0,13.0,736.0,185.0,142.0,57.0,8.0,58.0,4.0,10.0,149.0,43.0,1367.0,19.0,2212.0,276.0,,122.0,42.0,115.0,484.0,10.0,66.0,,87.0,534.0,0.0,103.0,34.0,6.0,1071.0,582.0,4.0,19.0,,248
Kuwait,903.0,12.0,4.0,13.0,,143.0,5.0,4.0,0.0,0.0,64.0,23.0,,0.0,62.0,8.0,,6.0,6.0,8.0,,17.0,17.0,48.0,8.0,,6.0,0.0,3.0,,8.0,48.0,0.0,62.0,53.0,,37.0,7.0,3.0,18.0,,7.0,,17.0,92.0,0.0,6.0,4.0,0.0,33.0,10.0,,12.0,0.0,15
Kyrgyzstan,246.0,,,,0.0,36.0,4.0,,0.0,3.0,8.0,4.0,,0.0,,,0.0,,0.0,,0.0,3.0,12.0,5.0,6.0,0.0,4.0,,0.0,,,11.0,0.0,42.0,0.0,0.0,5.0,,6.0,10.0,,,0.0,0.0,9.0,0.0,,3.0,0.0,7.0,45.0,0.0,,0.0,0
Laos,4114.0,25.0,29.0,19.0,43.0,851.0,26.0,55.0,,0.0,112.0,124.0,40.0,3.0,156.0,19.0,28.0,59.0,15.0,23.0,,10.0,100.0,68.0,707.0,,17.0,,28.0,47.0,16.0,15.0,12.0,39.0,282.0,,75.0,8.0,37.0,51.0,53.0,39.0,3.0,56.0,138.0,0.0,0.0,50.0,,59.0,90.0,,390.0,,86
Latvia,347.0,0.0,,,0.0,48.0,5.0,6.0,0.0,,30.0,5.0,0.0,0.0,28.0,,0.0,,,0.0,,5.0,7.0,10.0,5.0,0.0,5.0,0.0,,,,11.0,,103.0,7.0,0.0,3.0,,3.0,10.0,0.0,4.0,,0.0,5.0,0.0,0.0,,,6.0,12.0,,4.0,0.0,4
Lebanon,3393.0,19.0,0.0,39.0,5.0,747.0,12.0,24.0,,6.0,266.0,57.0,,0.0,77.0,16.0,0.0,14.0,8.0,8.0,,46.0,267.0,560.0,23.0,,5.0,0.0,,32.0,37.0,136.0,,206.0,70.0,0.0,134.0,25.0,15.0,74.0,14.0,13.0,0.0,14.0,200.0,0.0,,7.0,3.0,121.0,27.0,3.0,8.0,0.0,44
Lesotho,7.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
