,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Georgia,1205.0,0.0,3.0,9.0,0.0,179.0,15.0,15.0,,0.0,40.0,30.0,0.0,0.0,,27.0,7.0,4.0,,6.0,,,22.0,11.0,13.0,11.0,0.0,8.0,0.0,0.0,8.0,3.0,97.0,0.0,481.0,4.0,0.0,21.0,,12.0,74.0,0.0,0.0,,0.0,4.0,17.0,0.0,0.0,6.0,0.0,28.0,30.0,0.0,4.0,0.0,4.0
Germany,4066.0,40.0,17.0,101.0,14.0,666.0,77.0,67.0,6.0,19.0,432.0,158.0,3.0,33.0,14.0,96.0,36.0,18.0,18.0,44.0,15.0,12.0,93.0,100.0,112.0,44.0,10.0,51.0,10.0,14.0,44.0,23.0,124.0,28.0,279.0,111.0,5.0,95.0,44.0,61.0,106.0,4.0,13.0,74.0,6.0,48.0,243.0,,,17.0,9.0,151.0,150.0,8.0,48.0,7.0,45.0
Ghana,5105.0,12.0,,30.0,7.0,151.0,71.0,144.0,39.0,10.0,81.0,288.0,,,4.0,224.0,22.0,9.0,5.0,30.0,5.0,7.0,469.0,275.0,36.0,83.0,8.0,25.0,0.0,8.0,18.0,4.0,497.0,10.0,847.0,117.0,5.0,355.0,45.0,14.0,166.0,0.0,24.0,91.0,,38.0,246.0,3.0,,15.0,6.0,458.0,30.0,5.0,19.0,3.0,39.0
Gibraltar,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,938.0,,0.0,15.0,0.0,119.0,,30.0,3.0,,90.0,10.0,0.0,0.0,0.0,61.0,4.0,,0.0,,9.0,3.0,24.0,72.0,24.0,7.0,0.0,5.0,0.0,0.0,,7.0,61.0,,216.0,22.0,0.0,29.0,0.0,5.0,34.0,0.0,,,0.0,5.0,26.0,0.0,0.0,,0.0,21.0,14.0,0.0,4.0,0.0,
Grenada,717.0,3.0,0.0,0.0,,5.0,0.0,7.0,,3.0,45.0,17.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,21.0,8.0,,0.0,0.0,,,,3.0,0.0,28.0,0.0,499.0,4.0,0.0,0.0,,,9.0,0.0,0.0,6.0,0.0,,29.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Guatemala,9530.0,23.0,3.0,139.0,48.0,4088.0,41.0,119.0,9.0,20.0,691.0,174.0,0.0,9.0,9.0,274.0,23.0,33.0,33.0,29.0,36.0,,216.0,309.0,35.0,46.0,4.0,19.0,,80.0,162.0,5.0,351.0,24.0,696.0,126.0,,40.0,42.0,95.0,57.0,5.0,220.0,40.0,13.0,56.0,573.0,3.0,0.0,67.0,0.0,302.0,97.0,4.0,16.0,7.0,15.0
Guinea,958.0,3.0,0.0,0.0,0.0,10.0,12.0,4.0,7.0,5.0,9.0,66.0,0.0,0.0,,18.0,15.0,5.0,5.0,,,0.0,64.0,18.0,18.0,35.0,0.0,5.0,0.0,,,0.0,19.0,0.0,425.0,16.0,0.0,48.0,,4.0,61.0,0.0,8.0,3.0,0.0,8.0,18.0,,0.0,,,17.0,8.0,0.0,6.0,0.0,6.0
Guinea-Bissau,24.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Guyana,6295.0,0.0,,10.0,,62.0,4.0,76.0,18.0,8.0,571.0,168.0,0.0,5.0,0.0,21.0,4.0,,0.0,,4.0,,138.0,31.0,9.0,93.0,,3.0,0.0,,4.0,3.0,429.0,,4313.0,33.0,0.0,27.0,8.0,,80.0,0.0,4.0,33.0,0.0,8.0,44.0,,4.0,0.0,,36.0,10.0,,,0.0,15.0
